City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Sheopur,IN,2022-10-05 22:04:53,25.6667,76.7,75.36,89,77,5.28
60,Yellowknife,CA,2022-10-05 22:00:32,62.456,-114.3525,37.56,64,6,13.0
61,Koslan,RU,2022-10-05 22:04:53,63.4564,48.8989,42.8,94,100,4.03
62,Samarai,PG,2022-10-05 22:04:54,-10.6167,150.6667,82.08,80,58,10.2
63,Carnarvon,AU,2022-10-05 22:03:10,-24.8667,113.6333,61.59,60,25,23.49
64,Dikson,RU,2022-10-05 22:04:54,73.5069,80.5464,30.15,78,94,8.57
65,Hobart,AU,2022-10-05 22:04:55,-42.8794,147.3294,53.26,74,75,6.91
66,Hilo,US,2022-10-05 22:03:24,19.7297,-155.09,89.28,88,27,3.0
67,Lakes Entrance,AU,2022-10-05 22:04:56,-37.8811,147.981,53.17,94,100,17.96
68,Marandahalli,IN,2022-10-05 22:04:56,12.4,78.0,70.54,89,100,4.23
69,Barrow,US,2022-10-05 22:04:57,71.2906,-156.7887,35.62,80,100,18.41
70,Florence,IT,2022-10-05 22:04:57,43.7667,11.25,65.88,89,0,3.44
71,Hamakita,JP,2022-10-05 22:04:57,34.8,137.7833,62.74,92,100,4.23
72,Andenes,NO,2022-10-05 22:04:58,69.3143,16.1194,46.38,12,100,16.11
73,Northam,GB,2022-10-05 22:04:58,51.0333,-4.2167,56.25,73,1,20.67
74,Mackay,AU,2022-10-05 22:04:59,-21.15,149.2,72.68,77,24,12.97
75,Severo-Kurilsk,RU,2022-10-05 22:04:59,50.6789,156.125,44.33,58,61,15.9
76,Eydhafushi,MV,2022-10-05 22:04:59,5.1033,73.0708,81.37,78,100,18.54
77,New Norfolk,AU,2022-10-05 22:05:00,-42.7826,147.0587,52.92,63,100,3.0
78,Angoche,MZ,2022-10-05 22:05:00,-16.2325,39.9086,73.04,86,0,6.67
79,Podyuga,RU,2022-10-05 22:05:01,61.095,40.8647,46.29,98,100,0.65
80,Salalah,OM,2022-10-05 22:05:01,17.0151,54.0924,78.89,83,20,3.44
81,Havre,FR,2022-10-05 22:05:01,49.5833,0.3333,58.77,67,75,20.71
82,Gizo,SB,2022-10-05 22:05:02,-8.103,156.8419,83.08,71,75,8.14
83,Lugoba,TZ,2022-10-05 22:05:02,-6.45,38.3333,68.27,90,43,1.5
84,Mount Isa,AU,2022-10-05 22:05:03,-20.7333,139.5,73.17,94,39,5.75
85,Ketchikan,US,2022-10-05 22:05:04,55.3422,-131.6461,57.67,94,100,13.8
86,Savannah Bight,HN,2022-10-05 22:05:04,16.45,-85.85,78.93,83,100,13.44
87,Harqalah,TN,2022-10-05 22:05:05,36.0303,10.509,75.06,69,40,5.75
88,Padang,ID,2022-10-05 22:00:29,-0.9492,100.3543,75.25,88,100,5.75
89,Bethel,US,2022-10-05 22:05:05,41.3712,-73.414,60.89,86,100,4.61
90,Basco,PH,2022-10-05 22:05:06,20.4487,121.9702,82.45,78,26,17.96
91,Vawkavysk,BY,2022-10-05 22:05:07,53.1561,24.4513,49.5,83,100,9.44
92,Ubinskoye,RU,2022-10-05 22:05:07,55.3068,79.6802,42.37,97,100,4.03
